ProblemSize,ExecutionTime,PlanCost,SolutionFound
2,0.0112,161.0,1
3,0.0123,143.0,1
4,0.0150,295.0,1
5,0.0226,306.0,1
6,0.0234,387.0,1
7,0.0372,566.0,1
8,0.0698,515.0,1
9,0.1070,710.0,1
10,0.0146,N/A,0
11,0.0315,N/A,0
