ProblemSize,ExecutionTime,PlanCost,SolutionFound
2,0.5908,38.0,1
3,0.8174,94.0,1
4,1.7967,188.0,1
5,16.0443,184.0,1
6,60.0000,N/A,0
7,60.0000,N/A,0
