ProblemSize,ExecutionTime,PlanCost,SolutionFound
2,0.5474,138.0,1
7,0.6394,340.0,1
12,0.5857,562.0,1
17,0.6149,920.0,1
22,0.6182,1118.0,1
27,0.7289,1534.0,1
