ProblemSize,ExecutionTime,PlanCost,SolutionFound
2,0.9027,196.0,1
3,0.9693,106.0,1
4,1.0999,240.0,1
5,3.1055,312.0,1
6,26.2586,298.0,1
7,60.0000,N/A,0
8,60.0000,N/A,0
