Problem Size,Execution Time (s),Solution Found
<<<<<<< HEAD
2,0.11595034599304199,1
3,0.08363986015319824,1
4,0.12408018112182617,1
5,0.0982522964477539,1
6,0.07795453071594238,1
7,0.08167409896850586,1
8,0.09802007675170898,1
9,0.08017444610595703,1
10,0.15842509269714355,1
11,0.1319572925567627,1
12,0.10992717742919922,1
13,0.12705683708190918,1
14,0.205460786819458,1
15,0.3743598461151123,1
16,0.09392070770263672,1
17,0.15627026557922363,1
18,0.401425838470459,1
19,0.6617794036865234,1
20,0.2911679744720459,1
21,0.20778155326843262,1
22,0.3495748043060303,1
23,0.5411317348480225,1
24,0.9976351261138916,1
25,1.2955398559570312,1
26,0.815004825592041,1
27,1.131221055984497,1
28,1.2955403327941895,1
29,1.0019311904907227,1
30,0.6236484050750732,1
31,14.65433382987976,1
32,7.715238571166992,1
33,16.785947561264038,1
34,10.311741352081299,1
35,17.877546548843384,1
36,14.626136779785156,1
37,6.3772687911987305,1
38,5.697003602981567,1
39,9.342574834823608,1
40,31.759466886520386,1
41,37.87918186187744,1
42,29.91713857650757,1
43,42.23188877105713,1
44,60,0
=======
2,0.00010967254638671875,0
>>>>>>> 95389add2f442c4514c7e7fdc33674687b81cdbe
